"REGION","YEAR","EVENT_TYPE","FATALITIES","INJURIES","DAMAGE_PROPERTY","DAMAGE_CROP"
"NORTHWEST",2003,"HAIL",0,12,17092000,2821000
"SOUTH",2003,"HAIL",0,1,42624480,1000
"SOUTHEAST",2003,"HAIL",0,0,260250,0
"SOUTHWEST",2003,"HAIL",0,12,93873250,43135000
"CENTRAL",2004,"HAIL",0,1,71709460,50210100
"MID-ATLANTIC",2004,"HAIL",0,0,1180000,77000
"NORTHEAST",2004,"HAIL",0,1,1611000,1390000
"NORTHWEST",2004,"HAIL",0,1,138500,156000
"SOUTH",2004,"HAIL",0,0,190920,4000
"SOUTHEAST",2004,"HAIL",0,0,257000,0
"SOUTHWEST",2004,"HAIL",0,1,387932500,21136000
"CENTRAL",2005,"HAIL",0,5,307337210,51636500
"MID-ATLANTIC",2005,"HAIL",0,0,32000,155000
"NORTHEAST",2005,"HAIL",0,0,172000,0
"NORTHWEST",2005,"HAIL",0,0,1241000,213000
"SOUTH",2005,"HAIL",0,2,32661320,1120000
"SOUTHEAST",2005,"HAIL",0,0,33321650,0
"SOUTHWEST",2005,"HAIL",1,1,105704050,2998500
"CENTRAL",2006,"HAIL",0,5,1091433770,41312500
"MID-ATLANTIC",2006,"HAIL",0,9,7245000,15000
"NORTHEAST",2006,"HAIL",0,0,442000,415000
"NORTHWEST",2006,"HAIL",0,2,27046500,70960500
"SOUTH",2006,"HAIL",0,1,22496680,10700000
"SOUTHEAST",2006,"HAIL",0,0,16511000,15000
"SOUTHWEST",2006,"HAIL",0,1,135395050,9519000
"CENTRAL",2007,"HAIL",0,23,307235400,95216000
"MID-ATLANTIC",2007,"HAIL",0,0,1946000,460000
"NORTHEAST",2007,"HAIL",0,0,295000,0
"NORTHWEST",2007,"HAIL",0,1,11413000,26045000
"SOUTH",2007,"HAIL",0,0,639750,185000
"SOUTHEAST",2007,"HAIL",0,1,19329000,850000
"SOUTHWEST",2007,"HAIL",0,0,34867100,32513000
"CENTRAL",2008,"HAIL",0,3,189649550,74644000
"MID-ATLANTIC",2008,"HAIL",1,1,5302500,22110000
"NORTHEAST",2008,"HAIL",0,0,2191500,75004000
"NORTHWEST",2008,"HAIL",0,2,123500,17000
"SOUTH",2008,"HAIL",0,0,2150000,12000
"SOUTHEAST",2008,"HAIL",0,0,71880250,0
"SOUTHWEST",2008,"HAIL",1,6,156534000,6429000
"CENTRAL",2009,"HAIL",0,46,159916700,296101000
"MID-ATLANTIC",2009,"HAIL",0,0,153000,1250000
"NORTHEAST",2009,"HAIL",0,0,279000,180000
"NORTHWEST",2009,"HAIL",0,1,2954300,70000
"SOUTH",2009,"HAIL",0,1,796300,564000
"SOUTHEAST",2009,"HAIL",0,0,58766000,0
"SOUTHWEST",2009,"HAIL",0,22,1217135250,52829000
"CENTRAL",2010,"HAIL",0,38,386799750,28207000
"MID-ATLANTIC",2010,"HAIL",0,0,1810250,0
"NORTHEAST",2010,"HAIL",0,0,195000,265000
"NORTHWEST",2010,"HAIL",0,0,107704000,125000
"SOUTH",2010,"HAIL",0,0,1940200,53000
"SOUTHEAST",2010,"HAIL",0,2,5470000,0
"SOUTHWEST",2010,"HAIL",0,2,2900190250,73330000
"CENTRAL",2011,"HAIL",0,13,213292900,81322000
"MID-ATLANTIC",2011,"HAIL",0,0,3430500,553000
"NORTHEAST",2011,"HAIL",0,0,1478000,40000
"NORTHWEST",2011,"HAIL",0,1,552700,274000
"SOUTH",2011,"HAIL",0,15,13409500,0
"SOUTHEAST",2011,"HAIL",0,0,45110250,25000
"SOUTHWEST",2011,"HAIL",0,2,174055700,120000
"CENTRAL",1996,"HEAT",16,114,0,0
"MID-ATLANTIC",1996,"HEAT",4,15,0,0
"SOUTH",1996,"HEAT",2,0,0,0
"SOUTHWEST",1996,"HEAT",14,0,0,0
"CENTRAL",1997,"HEAT",30,62,500,0
"MID-ATLANTIC",1997,"HEAT",43,467,0,0
"SOUTH",1997,"HEAT",0,1,20000,0
"SOUTHEAST",1997,"HEAT",1,0,0,0
"SOUTHWEST",1997,"HEAT",7,0,0,0
"CENTRAL",1998,"HEAT",51,490,0,0
"MID-ATLANTIC",1998,"HEAT",23,135,0,10000
"NORTHWEST",1998,"HEAT",1,0,0,0
"SOUTH",1998,"HEAT",25,0,0,0
"SOUTHEAST",1998,"HEAT",4,1,0,0
"SOUTHWEST",1998,"HEAT",70,7,0,0
"CENTRAL",1999,"HEAT",269,581,3300000,0
"MID-ATLANTIC",1999,"HEAT",164,867,0,0
"NORTHEAST",1999,"HEAT",35,0,0,0
"SOUTH",1999,"HEAT",7,2,0,0
"SOUTHEAST",1999,"HEAT",5,3,0,0
"SOUTHWEST",1999,"HEAT",22,24,0,0
"CENTRAL",2000,"HEAT",24,280,0,0
"MID-ATLANTIC",2000,"HEAT",18,3,0,0
"NORTHWEST",2000,"HEAT",1,0,0,0
"SOUTH",2000,"HEAT",32,65,0,0
"SOUTHWEST",2000,"HEAT",83,121,0,0
"CENTRAL",2001,"HEAT",100,413,0,0
"MID-ATLANTIC",2001,"HEAT",36,0,0,0
"NORTHEAST",2001,"HEAT",4,1,0,0
"SOUTH",2001,"HEAT",2,5,0,0
"SOUTHEAST",2001,"HEAT",0,1,0,0
"SOUTHWEST",2001,"HEAT",24,25,0,0
"CENTRAL",2002,"HEAT",63,368,0,0
"MID-ATLANTIC",2002,"HEAT",94,0,0,0
"NORTHEAST",2002,"HEAT",1,0,0,0
"SOUTH",2002,"HEAT",2,0,0,0
"SOUTHWEST",2002,"HEAT",7,10,0,0
"CENTRAL",2003,"HEAT",19,147,0,0
"MID-ATLANTIC",2003,"HEAT",8,0,0,0
"SOUTH",2003,"HEAT",0,2,0,0
"SOUTHEAST",2003,"HEAT",1,0,0,0
"SOUTHWEST",2003,"HEAT",8,25,0,2000
"CENTRAL",2004,"HEAT",1,74,0,0
"MID-ATLANTIC",2004,"HEAT",1,0,0,0
"SOUTH",2004,"HEAT",1,0,0,0
"SOUTHWEST",2004,"HEAT",3,0,0,0
"CENTRAL",2005,"HEAT",16,224,3e+06,0
"MID-ATLANTIC",2005,"HEAT",31,5,0,0
"NORTHWEST",2005,"HEAT",1,0,0,0
"SOUTH",2005,"HEAT",7,69,0,0
"SOUTHWEST",2005,"HEAT",103,0,0,0
"CENTRAL",2006,"HEAT",92,1321,10000,0
"MID-ATLANTIC",2006,"HEAT",44,141,0,0
